src_id,source_name,role,cp_at_selection,ap_at_selection,region,language,notes,selection_status
SRC0324,Muryoko / nembutsu.info — Speaking Personally,CORE,CP2,Unknown,英国/澳洲系,英语,第一人称 spiritual journey 栏目,FROZEN
SRC0325,Three Wheels News / Newsletter Archive,CORE,CP1,Unknown,英国,英语,真宗道场通讯；皈依、念佛体验与 retreat 自述,FROZEN
SRC0326,Pure Land Life,CORE,CP1,Unknown,全球 / 浄土宗海外,英语,READERS’ VOICES；跨国第一人称经历,FROZEN
SRC0327,Wheel of Dharma,CORE,CP1,Unknown,美国 / BCA,英语/日语,BCA 官方月刊；长期档案与第一人称投稿,FROZEN
SRC0328,BCA Connect — Sangha Voices,CORE,CP2,Unknown,美国,英语,Web-native 第一人称信仰、临终、丧亲叙事,FROZEN
SRC0329,Higashi Honganji USA — Lay Voices,CORE,CP1,Unknown,美国,英语,Lay Voices 个人入信与真宗体验,FROZEN
SRC0330,Living in Gratitude — 100 Years of Buddha Dharma in Canada,CORE,CP2,Unknown,加拿大,英语,百年纪念个人文章集；真宗生命史,FROZEN
SRC0331,Nenju News,CORE,CP2,Unknown,加拿大,英语,JSBTC 官方刊物；Tokudo、丧亲与个人经验,FROZEN
SRC0332,The Young Buddhist Editorial — Personal Reflections / Humans of Buddhism,CORE,CP2,Unknown,北美,英语,青年佛教徒个人经验与身份叙事,FROZEN
SRC0333,PureLandBuddhism.org,CORE,CP1,Unknown,国际,英语,善导系英文净土平台；个人转宗、临终、疾病见证,FROZEN
SRC0334,Purelanders.com — Testimonies / PPF Testimonies,CORE,CP1,Unknown,新加坡→全球,英语为主,大型英文净土 testimonies / 感应集合,FROZEN
SRC0335,Buddhistische Gemeinschaft Jodo Shinshu Deutschland / BGJD,CORE,CP2,Unknown,德国,德语,德国真宗皈依、念佛实践与个人反思,FROZEN
SRC0336,Bouddhisme Jōdo Shinshū / jodoshinshu.fr,CORE,CP2,Unknown,法国,法语,法国真宗实践、Kikyoshiki 与个人经历,FROZEN
SRC0337,Sangha Luso-Hispana Jinen-kō,CORE,CP2,Unknown,西班牙 / 葡语圈 / 拉美,西语/葡语/英语,跨国线上真宗 Sangha；成员个人路径,FROZEN
SRC0338,Revista Coração Confiante,CORE,CP1,Unknown,巴西,葡语,南美大谷派官方刊物；访谈与个人生命历程,FROZEN
SRC0339,Bom Amigo / Comunicado Mensal do Templo,CORE,CP2,Unknown,巴西,葡语/日语,SRC0338 上游历史刊物；provenance 价值高,FROZEN
SRC0340,Rainbow Sangha Brasil — Depoimentos,CORE,CP2,Unknown,巴西,葡语,第一人称信众生活与信仰见证,FROZEN
SRC0341,George Gatenby — The Way of Jodo Shinshu / Notes on the Nembutsu,CORE,CP2,Unknown,澳大利亚,英语,早期英文真宗网络资料与单一作者反思,FROZEN
SRC0342,Paths of Practice: Conversations on Journeys into Buddhism,DISCOVERY,CP3,Unknown,国际,英语,Podcast；佛教个人 journey，含真宗受访者,FROZEN
SRC0343,The Taste of the Nembutsu / HHMH Messages,CORE,CP2,Unknown,夏威夷 / 美国,英语,部长文章与信众口述历史,FROZEN
SRC0344,《藏汉平凡人往生极乐世界故事集·引路宝镜》,CORE,CP1,Unknown,藏区 / 中国,中文（源于藏地调查）,59个往生故事；藏地49、汉地10；田野采访型核心资料,FROZEN
SRC0345,Amitabha Path — True Accounts of Going to Pureland,DISCOVERY,CP2,Unknown,国际,英语,SRC0344 英文传播/翻译层,FROZEN
SRC0346,British Library EAP — Tibetan Delog manuscript corpus,INFRASTRUCTURE,CP1,Unknown,藏区 / 喜马拉雅,藏文,Delog 写本群；earliest-surviving witness 基础设施,FROZEN
SRC0347,Delok Lingza Chökyi / Lingza Choskyit 写本传统,CORE,CP2,Unknown,藏区,藏文,历史 delog 传统；死亡与他界见闻,FROZEN
SRC0348,Delok Karma Wangzin 写本传统,CORE,CP2,Unknown,藏区,藏文,历史 delog 死亡/还阳/他界叙事,FROZEN
SRC0349,Dawa Drolma — Delog: Journey to Realms Beyond Death,CORE,CP1,Unknown,西藏 / 英语出版,藏文传统/英语,现代重要 delog 叙事；含 Pure Realm,FROZEN
SRC0350,"Tulku Thondup — Peaceful Death, Joyful Rebirth",DISCOVERY,CP2,Unknown,国际 / 藏传,英语,综合 delog、口传、firsthand accounts 与 Pure Land rebirth,FROZEN
SRC0351,Lotsawa House — Delog / Sukhāvatī corpus,DISCOVERY,CP1,Unknown,国际 / 藏传,英语/藏文,藏文净土愿文、delog 与传播材料入口,FROZEN
SRC0352,Treasury of Lives — Delok biographies,DISCOVERY,CP2,Unknown,国际 / 藏传,英语,学术人物索引；作品、人物与 BDRC 关联,FROZEN
SRC0353,BDRC / BUDA,INFRASTRUCTURE,CP1,Unknown,国际 / 藏文佛教,多语,藏文/佛教文献数字档案与全文检索基础设施,FROZEN
SRC0354,Geshe Jampa Tinley — 《К Ясному Свету》,CORE,CP2,Unknown,俄罗斯 / 布里亚特,俄语,阿弥陀净土、临终与本地死亡叙事,FROZEN
SRC0355,Geshe Jampa Tinley — 《Смерть. Жизнь после смерти. Пхова》,CORE,CP2,Unknown,俄罗斯 / 布里亚特,俄语,死亡、死后、颇瓦及临终叙事,FROZEN
SRC0356,Журнал «Дже Цонкапа»,DISCOVERY,CP3,Unknown,俄罗斯,俄语,本土佛教刊物；弟子回忆、逝者纪念、社群口述入口,FROZEN
SRC0357,Журнал «Буддизм России»,DISCOVERY,CP3,Unknown,俄罗斯,俄语,俄罗斯佛教历史刊物与人物/社群资料,FROZEN
SRC0358,Kalmyk Scientific Center RAS — Oirat Sukhāvatī manuscript corpus,INFRASTRUCTURE,CP2,Unknown,卡尔梅克 / 俄罗斯,卫拉特文/俄语研究,Oirat Sukhāvatī 写本与历史实践,FROZEN
SRC0359,Kathmandu Hongwanji,CORE,CP2,Unknown,尼泊尔,英语/尼泊尔本地语境,现代净土真宗转宗与生命史节点,FROZEN
SRC0360,Buddhist Study Center / HHMH — Sonam Wangdi Bhutia 2017 Summer Session,CORE,CP2,Unknown,夏威夷 / 尼泊尔-锡金关联,英语,Sonam Wangdi Bhutia 五讲口述生命史,FROZEN
SRC0361,Todd T. Lewis — “Sukhāvatī Traditions in Newar Buddhism” (1996),CORE,CP2,Unknown,尼泊尔 / Kathmandu Valley,英语,Newar 本土 Sukhāvatī 传统田野研究,FROZEN
SRC0362,British Library EAP1296 — Newar Sukhāvatī manuscript corpus,INFRASTRUCTURE,CP2,Unknown,尼泊尔,梵文/Newar,Newar Sukhāvatī 写本数字化,FROZEN
SRC0363,"Digital Sanskrit Buddhist Canon / Nagarjuna Institute, Nepal",INFRASTRUCTURE,CP2,Unknown,尼泊尔 / 南亚,梵文/英语,梵文佛典与 Sukhāvatīvyūha 数字文本,FROZEN
